epoch,lr-Adam,step,val_acc,val_loss
,0.005,0,,
0,,1,0.6842105388641357,0.7592712640762329
,0.0045000000000000005,2,,
1,,3,0.8421052694320679,0.29665496945381165
,0.004050000000000001,4,,
2,,5,0.6842105388641357,0.9964522123336792
,0.0036450000000000007,6,,
3,,7,0.8947368264198303,0.3465324342250824
,0.003280500000000001,8,,
4,,9,0.7368420958518982,3.0099432468414307
,0.002952450000000001,10,,
5,,11,0.7894737124443054,8.118858337402344
,0.002657205000000001,12,,
6,,13,0.7368420958518982,3.1913509368896484
